Gene_ID	Final_Annotation
1_1	Hypothetical protein
1_2	Probable aspartokinase
1_3	Homoserine kinase {ECO:0000255|HAMAP-Rule:MF_00384}
1_4	NULL
1_5	Uncharacterized protein YaaX
1_6	UPF0246 protein YpAngola_A0805 {ECO:0000255|HAMAP-Rule:MF_00652}
1_7	Uncharacterized transporter YflA
1_8	Transaldolase {ECO:0000255|HAMAP-Rule:MF_00492}
1_9	Molybdopterin adenylyltransferase
1_10	Succinate-acetate/proton symporter SatP
1_11	UPF0174 protein YaaW {ECO:0000305}
1_12	UPF0412 protein YaaI {ECO:0000255|HAMAP-Rule:MF_01372}
1_13	Chaperone protein DnaK {ECO:0000255|HAMAP-Rule:MF_00332}
1_14	Chaperone protein DnaJ {ECO:0000255|HAMAP-Rule:MF_01152}
1_15	Transposase for insertion sequence element IS421
1_16	Hypothetical protein
1_17	Hypothetical protein
1_18	Na(+)/H(+) antiporter NhaA {ECO:0000255|HAMAP-Rule:MF_01844}
1_19	Transcriptional activator protein NhaR
1_20	Insertion element IS1 protein InsB
1_21	Insertion element iso-IS1d protein InsA
1_22	Hypothetical protein
1_23	FMN adenylyltransferase {ECO:0000250|UniProtKB:Q59263}
1_24	Isoleucine--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_02002}
1_25	Lipoprotein signal peptidase {ECO:0000255|HAMAP-Rule:MF_00161}
1_26	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
1_27	4-hydroxy-3-methylbut-2-enyl diphosphate reductase {ECO:0000255|HAMAP-Rule:MF_00191}
1_28	Pyrimidine-specific ribonucleoside hydrolase RihA {ECO:0000255|HAMAP-Rule:MF_01431}
1_29	4-hydroxy-tetrahydrodipicolinate reductase {ECO:0000255|HAMAP-Rule:MF_00102}
1_30	Carbamoyl-phosphate synthase small chain {ECO:0000255|HAMAP-Rule:MF_01209}
1_31	Carbamoyl-phosphate synthase large chain {ECO:0000255|HAMAP-Rule:MF_01210}
1_32	Transcriptional activatory protein CaiF
1_33	Phenylacetic acid degradation protein PaaY
1_34	Enoyl-CoA-hydratase {ECO:0000303|PubMed:11752437}
1_35	Crotonobetaine/carnitine--CoA ligase {ECO:0000255|HAMAP-Rule:MF_01524}
1_36	Bile acid CoA-transferase BaiK {ECO:0000305|PubMed:22021638}
1_37	Probable acyl-CoA dehydrogenase YdiO
1_38	Uncharacterized transporter YeaV
1_39	Putative electron transfer flavoprotein subunit YdiQ
1_40	Putative electron transfer flavoprotein subunit YdiR
1_41	Protein FixC
1_42	Ferredoxin-like protein FixX
1_43	Putative metabolite transport protein YaaU
1_44	Glutathione-regulated potassium-efflux system ancillary protein KefF {ECO:0000255|HAMAP-Rule:MF_01414}
1_45	Glutathione-regulated potassium-efflux system protein KefB {ECO:0000255|HAMAP-Rule:MF_01412}
1_46	Dihydrofolate reductase
1_47	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical {ECO:0000255|HAMAP-Rule:MF_00199}
1_48	Protein ApaG {ECO:0000255|HAMAP-Rule:MF_00791}
1_49	Ribosomal RNA small subunit methyltransferase A {ECO:0000255|HAMAP-Rule:MF_00607}
1_50	4-hydroxythreonine-4-phosphate dehydrogenase {ECO:0000255|HAMAP-Rule:MF_00536}
1_51	Chaperone SurA {ECO:0000255|HAMAP-Rule:MF_01183}
1_52	LPS-assembly protein LptD {ECO:0000255|HAMAP-Rule:MF_01411}
1_53	Co-chaperone protein DjlA {ECO:0000255|HAMAP-Rule:MF_01153}
1_54	Protein YabP
1_55	Hypothetical protein
1_56	Dual-specificity RNA pseudouridine synthase RluA {ECO:0000250|UniProtKB:P0AA37}
1_57	RNA polymerase-associated protein RapA {ECO:0000255|HAMAP-Rule:MF_01821}
1_58	Catabolite repressor/activator
1_59	Transcriptional regulator MraZ
1_60	Ribosomal RNA small subunit methyltransferase H {ECO:0000255|HAMAP-Rule:MF_01007}
1_61	Cell division protein FtsL {ECO:0000255|HAMAP-Rule:MF_00910}
1_62	Probable peptidoglycan D,D-transpeptidase PenA {ECO:0000305}
1_63	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase {ECO:0000255|HAMAP-Rule:MF_00208}
1_64	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase {ECO:0000255|HAMAP-Rule:MF_02019}
1_65	Phospho-N-acetylmuramoyl-pentapeptide-transferase {ECO:0000255|HAMAP-Rule:MF_00038}
1_66	UDP-N-acetylmuramoylalanine--D-glutamate ligase {ECO:0000255|HAMAP-Rule:MF_00639}
1_67	Probable peptidoglycan glycosyltransferase FtsW {ECO:0000255|HAMAP-Rule:MF_00913}
1_68	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase {ECO:0000255|HAMAP-Rule:MF_00033}
1_69	UDP-N-acetylmuramate--L-alanine ligase {ECO:0000255|HAMAP-Rule:MF_00046}
1_70	D-alanine--D-alanine ligase {ECO:0000255|HAMAP-Rule:MF_00047}
1_71	Cell division protein FtsQ {ECO:0000255|HAMAP-Rule:MF_00911}
1_72	Cell division protein FtsA {ECO:0000255|HAMAP-Rule:MF_02033}
1_73	Cell division protein FtsZ {ECO:0000255|HAMAP-Rule:MF_00909}
1_74	UDP-3-O-acyl-N-acetylglucosamine deacetylase {ECO:0000255|HAMAP-Rule:MF_00388}
1_75	Secretion monitor {ECO:0000255|HAMAP-Rule:MF_01332}
1_76	Protein translocase subunit SecA {ECO:0000255|HAMAP-Rule:MF_01382}
1_77	8-oxo-dGTP diphosphatase
1_78	Hypothetical protein
1_79	Cell division protein ZapD {ECO:0000255|HAMAP-Rule:MF_01092}
1_80	Dephospho-CoA kinase {ECO:0000255|HAMAP-Rule:MF_00376}
1_81	GMP reductase {ECO:0000255|HAMAP-Rule:MF_00596}
1_82	Protein transport protein HofC homolog
1_83	Type II secretion system protein E
1_84	Prepilin peptidase-dependent protein D
1_85	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
1_86	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD {ECO:0000250|UniProtKB:P13016}
1_87	Protein AmpE
1_88	L-asparagine permease 2
1_89	NULL
1_90	Pyruvate dehydrogenase E1 component
1_91	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
1_92	Dihydrolipoyl dehydrogenase
1_93	Uncharacterized protein YacH
1_94	Aconitate hydratase B {ECO:0000250|UniProtKB:P36683}
1_95	UPF0231 protein YPO3414/y0772/YP_0271 {ECO:0000255|HAMAP-Rule:MF_01053}
1_96	S-adenosylmethionine decarboxylase alpha chain {ECO:0000255|HAMAP-Rule:MF_00465}
1_97	Polyamine aminopropyltransferase {ECO:0000255|HAMAP-Rule:MF_00198}
1_98	Uncharacterized protein YacC
1_99	Cell division protein FtsP {ECO:0000255|HAMAP-Rule:MF_00915}
1_100	Glycerol dehydrogenase large subunit
1_101	Hypoxanthine-guanine phosphoribosyltransferase
1_102	NULL
1_103	Uncharacterized ABC transporter ATP-binding protein YadG
1_104	Inner membrane transport permease YadH
1_105	Putative phosphotransferase enzyme IIA component YadI
1_106	Uncharacterized protein YadE
1_107	Aspartate 1-decarboxylase alpha chain {ECO:0000255|HAMAP-Rule:MF_00446}
1_108	Recombination-promoting nuclease RpnA {ECO:0000303|PubMed:28096446}
1_109	Pantothenate synthetase {ECO:0000255|HAMAP-Rule:MF_00158}
1_110	3-methyl-2-oxobutanoate hydroxymethyltransferase {ECO:0000255|HAMAP-Rule:MF_00156}
1_111	Uncharacterized fimbrial-like protein YadC
1_112	Uncharacterized fimbrial-like protein YadK
1_113	Uncharacterized fimbrial-like protein YadL
1_114	Uncharacterized fimbrial-like protein YadM
1_115	Uncharacterized outer membrane usher protein YbgQ
1_116	Probable fimbrial chaperone YadV
1_117	Uncharacterized fimbrial-like protein YadN
1_118	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
1_119	Poly(A) polymerase I {ECO:0000255|HAMAP-Rule:MF_00957}
1_120	Glutamyl-Q tRNA(Asp) synthetase {ECO:0000255|HAMAP-Rule:MF_01428}
1_121	NULL
